class,subject,language,book_title,chapter,chapter_url
10,Mathematics,English,Mathematics,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh101/index.html
10,Mathematics,English,Mathematics,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh102/index.html
10,Mathematics,English,Mathematics,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh103/index.html
10,Mathematics,English,Mathematics,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh104/index.html
10,Mathematics,English,Mathematics,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh105/index.html
10,Mathematics,English,Mathematics,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh106/index.html
10,Mathematics,English,Mathematics,» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh107/index.html
10,Mathematics,English,Mathematics,» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh108/index.html
10,Mathematics,English,Mathematics,» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh109/index.html
10,Mathematics,English,Mathematics,» Chapter 10,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh110/index.html
10,Mathematics,English,Mathematics,» Chapter 11,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh111/index.html
10,Mathematics,English,Mathematics,» Chapter 12,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh112/index.html
10,Mathematics,English,Mathematics,» Chapter 13,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh113/index.html
10,Mathematics,English,Mathematics,» Chapter 14,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh114/index.html
10,Mathematics,English,Ganit,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh101/index.html
10,Mathematics,English,Ganit,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh102/index.html
10,Mathematics,English,Ganit,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh103/index.html
10,Mathematics,English,Ganit,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh104/index.html
10,Mathematics,English,Ganit,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh105/index.html
10,Mathematics,English,Ganit,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh106/index.html
10,Mathematics,English,Ganit,» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh107/index.html
10,Mathematics,English,Ganit,» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh108/index.html
10,Mathematics,English,Ganit,» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh109/index.html
10,Mathematics,English,Ganit,» Chapter 10,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh110/index.html
10,Mathematics,English,Ganit,» Chapter 11,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh111/index.html
10,Mathematics,English,Ganit,» Chapter 12,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh112/index.html
10,Mathematics,English,Ganit,» Chapter 13,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh113/index.html
10,Mathematics,English,Ganit,» Chapter 14,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1063Ganit/jhmh114/index.html
10,Mathematics,English,Riyazi,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh101
10,Mathematics,English,Riyazi,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh102
10,Mathematics,English,Riyazi,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh103
10,Mathematics,English,Riyazi,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh104
10,Mathematics,English,Riyazi,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh105
10,Mathematics,English,Riyazi,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh106
10,Mathematics,English,Riyazi,» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh107
10,Mathematics,English,Riyazi,» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh108
10,Mathematics,English,Riyazi,» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh109
10,Mathematics,English,Riyazi,» Chapter 10,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh110
10,Mathematics,English,Riyazi,» Chapter 11,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh111
10,Mathematics,English,Riyazi,» Chapter 12,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh112
10,Mathematics,English,Riyazi,» Chapter 13,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh113
10,Mathematics,English,Riyazi,» Chapter 14,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh114
10,Mathematics,English,Riyazi,» Chapter 15,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5013-Mathematics%20(Urdu)/jumh115
10,Science,English,Science,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc101/index.html
10,Science,English,Science,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc102/index.html
10,Science,English,Science,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc103/index.html
10,Science,English,Science,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc104/index.html
10,Science,English,Science,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc105/index.html
10,Science,English,Science,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc106/index.html
10,Science,English,Science,» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc107/index.html
10,Science,English,Science,» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc108/index.html
10,Science,English,Science,» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc109/index.html
10,Science,English,Science,» Chapter 10,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc110/index.html
10,Science,English,Science,» Chapter 11,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc111/index.html
10,Science,English,Science,» Chapter 12,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc112/index.html
10,Science,English,Science,» Chapter 13,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1064Science/jesc113/index.html
10,Science,English,Vigyan,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc101/index.html
10,Science,English,Vigyan,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc102/index.html
10,Science,English,Vigyan,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc103/index.html
10,Science,English,Vigyan,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc104/index.html
10,Science,English,Vigyan,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc105/index.html
10,Science,English,Vigyan,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc106/index.html
10,Science,English,Vigyan,» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc107/index.html
10,Science,English,Vigyan,» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc108/index.html
10,Science,English,Vigyan,» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc109/index.html
10,Science,English,Vigyan,» Chapter 10,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc110/index.html
10,Science,English,Vigyan,» Chapter 11,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc111/index.html
10,Science,English,Vigyan,» Chapter 12,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc112/index.html
10,Science,English,Vigyan,» Chapter 13,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1065Vigyan/jhsc113/index.html
10,Science,English,Science (Urdu),» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc101
10,Science,English,Science (Urdu),» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc102
10,Science,English,Science (Urdu),» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc103
10,Science,English,Science (Urdu),» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc104
10,Science,English,Science (Urdu),» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc105
10,Science,English,Science (Urdu),» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc106
10,Science,English,Science (Urdu),» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc107
10,Science,English,Science (Urdu),» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc108
10,Science,English,Science (Urdu),» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc109
10,Science,English,Science (Urdu),» Chapter 10,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc110
10,Science,English,Science (Urdu),» Chapter 11,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc111
10,Science,English,Science (Urdu),» Chapter 12,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc112
10,Science,English,Science (Urdu),» Chapter 13,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc113
10,Science,English,Science (Urdu),» Chapter 14,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc114
10,Science,English,Science (Urdu),» Chapter 15,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc115
10,Science,English,Science (Urdu),» Chapter 16,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/5014-science-x%20(urdu)/jusc116
10,Hindi,English,Kshitij - 2,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1055Kshitij%20Bhag%20IIHindi%20CourseA/jhks101/index.html
10,Hindi,English,Kshitij - 2,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1055Kshitij%20Bhag%20IIHindi%20CourseA/jhks102/index.html
10,Hindi,English,Kshitij - 2,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1055Kshitij%20Bhag%20IIHindi%20CourseA/jhks103/index.html
10,Hindi,English,Kshitij - 2,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1055Kshitij%20Bhag%20IIHindi%20CourseA/jhks104/index.html
10,Hindi,English,Kshitij - 2,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1055Kshitij%20Bhag%20IIHindi%20CourseA/jhks105/index.html
